id,Song-Name,Artists,Genre,Album/Movie,User-Rating
2205,Ha Raham Mehfuz,"Amit Trivedi, Murtuza Qadir", Dance,Aamir,9.6
2206,Jiyara Jiyara,"Alisha Chinai, Hard Kaur", Dance,Prince,9
2207,All The Best,"Antara Mitra, Rana, Soham", Dance,All The Best,9.2
2208,Mallo Malli (Lehmber Hussainpuri),"Hard Kaur, Lehmber Hussainpuri", Dance,Mausam,9.3
2209,Freak Out,"Aditi Singh Sharma, Joi Barua", Dance,Love Ka The End,9.5
2210,Ab Tohe Jane Na Doongi,"Payal Dev, Shreyas Puranik", Romantic,Bajirao Mastani,9.7
2211,Jugnu,Udit Narayan, Dance,Joker,8.6
2212,Sajda,K.K., Dance,Bhool Bhulaiyaa,9.4
2213,Aha Aha,Falguni Pathak, Romantic,Na Tum Jaano Na Hum,8.8
2214,Dil Ka Qaraar,"Shraddha Pandit, Sonu Nigam", Romantic,Sangharsh,9.3
2215,Wafa Jo Na Ki To,Asha Bhosle, Romantic,Muqaddar Ka Sikandar,8.9
2216,Raabta Tujhse Raha,Aaman Trikha, Romantic,Yeh Hai Judgement Hanged Till Death,9.1
2217,Teri Tamanna,"KK, Shilpa Rao, Zubeen Garg", Dance,The Train,9.2
2218,Lage Na Mora Jiya,Lata Mangeshkar, Sad,Ghunghat,9.2
2219,Jane Kya Dhoondti Rahti Hai,Mohammed Rafi, Sad,Shola Aur Shabnam,9.3
2220,Mujhe Dekhkar Aap Ka Muskurana,Mohammed Rafi, Romantic,Ek Musafir Ek Hasina,9.5
2221,E – Gulbadan Phoolon Ki Mahek,Mohammed Rafi, Romantic,Professor,9.1
2222,Chahat Se Hai Begani,"Alka Yagnik, Kumar Sanu", Romantic,Saajan Chale Sasural,8.4
2223,Action Jackson,Multiple, Dance,Action Jackson,8.9
2224,Tujhko Bhulana,"Roshni Baptist, Sangeet Haldipur", Dance,Murder 2,9.3
2225,Chodo Kal Ki Batein,Mukesh, Patriotic,Hum Hindustani,9.2
2226,Dooba Re Dooba,"Alka Yagnik, Sonu Nigam", Dance,Ishq Vishk,9.3
2227,Dillagi Main Jo Beet Jaye,"Himesh Reshammiya, Jayesh Gandhi, Shaan, Sonu Nigam, Sunidhi Chauhan, Vasundhara Das", Dance,Aashiq Banaya Aapne,9.3
2228,Tere Chehre Pe,"Kumar Sanu, Sonali Vajpai", Romantic,Baazigar,8.7
2229,Khulla Saand,Salim Merchant, Dance,Rabba Main Kya Karoon,9
2230,Rang Se Hui,Kaushiki Chakraborty, Dance,Gulaab Gang,9.4
2231,Yeh Hawa Yeh Fiza Aa Bhi Jaa,Mahendra Kapoor, Romantic,Gumrah,9.1
2232,Meri Jaaniye,"Monali Thakur, Shaan", Dance,I Me Aur Mein,9.2
2233,Tumhen Muhabbat Hai Humne Mana,"Asha Bhosle, Mohammed Rafi", Romantic,Ek Musafir Ek Hasina,9.4
2234,Dhadakne Lagta Hai Mera Dil,Mohammed Rafi, Dance,Dil Tera Deewana,9.4
2235,Aiyo Ji,"Salim Merchant, Shraddha Pandit", Dance,Satyagraha,8.4
